,Delta,XIRR,DD,CAR/MDD,%
0,50,0.052021477947551034,-0.10600819055168742,0.4907307414344218,100.0
1,50,0.06832145570356456,-0.10123835208360599,0.674857445794282,125.0
2,50,0.07293283672692402,-0.09599009274220582,0.7597954605877386,150.0
3,50,0.07400198762447585,-0.0949140066751516,0.7796740461895336,175.0
4,50,0.06022064844502555,-0.09491219659309769,0.634487985808612,200.0
5,45,0.04020893604765133,-0.13764103920686088,0.2921289775153562,100.0
6,45,0.04609613348224196,-0.11511379515317344,0.4004396990031059,125.0
7,45,0.05523343045982673,-0.12189610785294192,0.45311890127338217,150.0
8,45,0.06465573462088609,-0.11197238418528532,0.5774257205588976,175.0
9,45,0.060418558079412904,-0.10793682586334019,0.5597585216736816,200.0
10,40,0.04156990306707396,-0.1273976501278402,0.3263003911403362,100.0
11,40,0.0427442906639557,-0.1173811446605375,0.36414954708075825,125.0
12,40,0.052314038823079397,-0.11094414230710459,0.4715349340235454,150.0
13,40,0.05538208866002931,-0.10379654766204827,0.5335638796036661,175.0
14,40,0.06769466112538584,-0.09671745707170332,0.6999218463239695,200.0
15,35,0.028187117897938364,-0.1426783897920031,0.1975570227490625,100.0
16,35,0.03955477360270858,-0.1306269296217344,0.3028071908085884,125.0
17,35,0.04661135459425519,-0.12007237819047467,0.38819381523629104,150.0
18,35,0.04295996474800648,-0.11764076647825183,0.3651792319454877,175.0
19,35,0.05595695906520711,-0.11421708961179722,0.4899175706139464,200.0
20,30,0.016324349586020304,-0.13787043836448476,0.11840355176694234,100.0
21,30,0.03248849431771851,-0.1249430188607571,0.2600264873856246,125.0
22,30,0.041714044801024634,-0.11700446611463244,0.35651668851816526,150.0
23,30,0.047627705003549146,-0.10894556407741907,0.43716974992854113,175.0
24,30,0.05213448902330276,-0.10682374242789505,0.4880421509150273,200.0
25,25,0.015454694166597631,-0.12893441236213177,0.11986477375171796,100.0
26,25,0.024609420329025213,-0.1091168910252669,0.22553263841916743,125.0
27,25,0.02761537056646795,-0.09975210365212006,0.2768399818692047,150.0
28,25,0.04650322476356139,-0.08563712191599782,0.5430264787410395,175.0
29,25,0.044205785497889206,-0.08870096762608659,0.49836869518984217,200.0
30,20,0.009116616041683616,-0.12263976707298518,0.07433654074259738,100.0
31,20,0.01976755105866241,-0.09477614983749161,0.20857094419383926,125.0
32,20,0.029950739033605154,-0.08864921102826429,0.3378568030803554,150.0
33,20,0.03026450824688399,-0.08701545791185761,0.347806113685461,175.0
34,20,0.034595808181764325,-0.08448011652429865,0.40951421003087374,200.0
35,15,-0.004014533236409983,-0.10989198472848316,-0.036531629184138735,100.0
36,15,-0.0008796247134608095,-0.11397963326404736,-0.007717385012312282,125.0
37,15,0.007197501584609585,-0.08473327520682106,0.08494303527205312,150.0
38,15,0.017226537186341637,-0.07708567726978288,0.22347260602060423,175.0
39,15,0.020826796795603487,-0.07469706703587509,0.27881679458178604,200.0
40,55,0.06288425179667158,-0.10356744305472576,0.6071816580761108,100.0
41,55,0.07369148950357525,-0.09598946314069079,0.7677039447086643,125.0
42,55,0.0824513713597047,-0.09228599363489387,0.893433208141017,150.0
43,55,0.06940148629096078,-0.09382640113264062,0.739679721839157,175.0
44,55,0.06517992404952463,-0.10310518285847925,0.6321692299308532,200.0
45,60,0.0750643293368657,-0.08557455804501068,0.8771804500279535,100.0
46,60,0.07078603916912846,-0.0936976877127963,0.755472636487071,125.0
47,60,0.06641944255228495,-0.09768850197435608,0.6799105443312102,150.0
48,60,0.07697235857131758,-0.08221731398381316,0.936206193581948,175.0
49,60,0.07999590699498334,-0.08754613162589053,0.913757187317294,200.0
50,65,0.0630472179319659,-0.09159769712719612,0.6883057097430745,100.0
51,65,0.06567101746101069,-0.11216635441913869,0.5854787543117778,125.0
52,65,0.06692466260172435,-0.07933310139348304,0.8435906503867249,150.0
53,65,0.08082526976920026,-0.07477917539451018,1.0808526483849668,175.0
54,65,0.05678708494155474,-0.08846305935120802,0.641929923722215,200.0
55,70,0.07249587350575044,-0.0875206182005005,0.8283290840070399,100.0
56,70,0.057527794630311754,-0.08292680674777708,0.6937177118767308,125.0
57,70,0.0642751925432248,-0.08242381974572865,0.7798133202453972,150.0
58,70,0.05481395351606337,-0.09397134833302379,0.583304959313864,175.0
59,70,0.055013372292642755,-0.0954563366417095,0.576319752340095,200.0
60,75,0.06725885275224314,-0.08902547772665981,0.7555011719089222,100.0
61,75,0.059002916908491194,-0.07917547370342504,0.7452171000517651,125.0
62,75,0.041978899722565605,-0.10208051475586,0.4112332292109232,150.0
63,75,0.049003811220063594,-0.09640384668055435,0.5083180070857916,175.0
64,75,0.05091607056378853,-0.09938989380476271,0.5122861954536937,200.0
65,80,0.04954790596761058,-0.06409373929936613,0.7730537570320943,100.0
66,80,0.0419331545040005,-0.07889919082647445,0.5314776243551781,125.0
67,80,0.03869369500147573,-0.08178122199727855,0.47313666947607297,150.0
68,80,0.03200060777457061,-0.10462388547030022,0.30586330865770306,175.0
69,80,0.020755716372519266,-0.11789729253759418,0.17604913502064387,200.0
70,85,0.05239832428728935,-0.06013902302994023,0.8712865897605757,100.0
71,85,0.05921928274578533,-0.0570485755042881,1.0380501567709446,125.0
72,85,0.032853289431333574,-0.056272524387455,0.5838246957809778,150.0
73,85,0.03663272046797566,-0.058924384353115644,0.6216903387305173,175.0
74,85,0.019221589018606766,-0.07786568985624409,0.24685569541724642,200.0
75,90,0.037504968521525295,-0.07615609420663572,0.4924749478323085,100.0
76,90,0.034663869701322264,-0.07987971162806651,0.43395086179984127,125.0
77,90,0.029978477121496067,-0.06129217202964321,0.4891077625214088,150.0
78,90,0.01659206846362727,-0.09422697064346952,0.17608619220506797,175.0
79,90,0.011621387702265364,-0.09339037374842762,0.1244388177904795,200.0
80,95,0.07194014994900434,-0.04077071000080634,1.7645056941020048,100.0
81,95,0.05612244527948581,-0.03548876051570404,1.5814146356182601,125.0
82,95,0.04417532352778166,-0.033249504497774085,1.3286009579703364,150.0
83,95,0.028031362998874723,-0.041760728920188006,0.6712373975187913,175.0
84,95,0.021697030344404886,-0.04902453914706206,0.4425748966108362,200.0
